Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$10.32,0.02,0.194%,123158880.00,,2021,41324,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.31,-0.02,-0.601%,173129315.00,United States,,944140,,
CIX,CompX International Inc. Common Stock,$14.14,0.01,0.071%,176059360.00,United States,1998,2239,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.30,-0.331,-2.846%,21950194.00,United States,,2191,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$13.46,0.17,1.279%,1024588970.00,United States,1987,1267656,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$16.05,0.08,0.501%,194507109.00,Canada,,128215,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$12.21,-0.44,-3.478%,97336569.00,United States,,15319,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$20.20,0.77,3.963%,26953203.00,United States,,13309,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.07,-0.12,-10.084%,48770126.00,China,,2281042,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$39.75,0.51,1.30%,19239780014.00,United States,2007,104976,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$12.92,-0.01,-0.077%,519853513.00,United States,,540789,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$3.85,-0.01,-0.259%,274940373.00,,2015,1350193,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$2.58,-0.28,-9.79%,27482286.00,United States,2017,169951,Miscellaneous,Business Services
CVM,Cel-Sci Corporation Common Stock,$23.06,0.49,2.171%,917036267.00,United States,,477833,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.225,0.525,2.043%,25336812.00,United States,,536,Technology,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$5.01,-0.05,-0.988%,59875868.00,United States,,100855,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.38,0.01,0.422%,246347617.00,United States,1998,2318365,,
DIT,AMCON Distributing Company Common Stock,$107.00,-1.6137,-1.486%,58996483.00,United States,,1047,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$27.43,0.53,1.97%,191314924.00,United States,,73896,Consumer Non-Durables,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.13,0.00,0.00%,189454786.00,United States,1988,54381,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.06,0.0839,8.595%,719474807.00,Canada,,143836851,Basic Industries,Precious Metals
DPW,Ault Global Holdings Inc. Common Stock,$5.13,0.08,1.584%,142375773.00,United States,,12005620,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$4.20,0.13,3.194%,56712088.00,United States,,9345860,Consumer Durables,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.74,0.19,12.258%,36322272.00,China,,796634,Finance,Finance: Consumer Services
DXR,Daxor Corporation Common Stock,$13.74,0.0842,0.617%,55148375.00,United States,,2806,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.31,-0.04,-0.479%,503471438.00,United States,2003,135493,,
ECF,Ellsworth Growth and Income Fund Ltd.,$16.60,0.22,1.343%,219203946.00,United States,1986,116846,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.17,0.00,0.00%,,United States,,1,,
